OrderItemId,Store,Product,Gallons,Delivered Date Time
5237910,Jumbo 663,DSL,7770,2020-01-20 10:57:24.8300000
5237607,Jumbo 663,DSL,7650,2020-01-20 02:21:53.5133333
5237100,Jumbo 663,DSL,7650,2020-01-19 23:27:12.6966667
5234317,Jumbo 663,DSL,7500,2020-01-19 09:47:59.1366667
5234316,Jumbo 663,DSL,7690,2020-01-19 12:00:20.0566667
5233302,Jumbo 663,DSL,7690,2020-01-18 21:39:25.7766667
5232489,Jumbo 663,DSL,7590,2020-01-18 11:01:47.4133333
5232460,Jumbo 663,DSL,7590,2020-01-18 15:06:51.7166667
5232454,Jumbo 663,DSL,7590,2020-01-18 08:00:43.3000000
5228022,Jumbo 663,DSL,7590,2020-01-17 11:39:49.5566667
5227954,Jumbo 663,DSL,7500,2020-01-17 10:18:19.6533333
5225543,Jumbo 663,DSL,7650,2020-01-16 23:40:54.6933333
5225539,Jumbo 663,DSL,7650,2020-01-16 21:07:56.1866667
5218880,Jumbo 663,DSL,7590,2020-01-16 14:19:36.8600000
5218878,Jumbo 663,DSL,7590,2020-01-16 08:48:17.1100000
5217247,Jumbo 663,DSL,7590,2020-01-16 02:53:16.3900000
5217218,Jumbo 663,DSL,7570,2020-01-16 01:13:33.4300000
5214582,Jumbo 663,DSL,7650,2020-01-15 22:19:46.1100000
5214577,Jumbo 663,DSL,7500,2020-01-15 07:21:27.5100000
5214576,Jumbo 663,DSL,7570,2020-01-15 13:41:53.7833333
5214438,Jumbo 663,DSL,7690,2020-01-15 03:23:24.6900000
5212249,Jumbo 663,DSL,7500,2020-01-14 01:48:05.5300000
5212186,Jumbo 663,DSL,7690,2020-01-14 22:15:39.7333333
5210704,Jumbo 663,DSL,7590,2020-01-14 16:43:22.1166667
5210703,Jumbo 663,DSL,7590,2020-01-14 16:41:39.8133333
5208141,Jumbo 663,DSL,7650,2020-01-14 04:06:49.9466667
5205320,Jumbo 663,DSL,7570,
5205316,Jumbo 663,DSL,7690,2020-01-13 11:23:48.2700000
5204512,Jumbo 663,DSL,7610,2020-01-13 03:36:04.0700000
5202827,Jumbo 663,DSL,7590,2020-01-13 00:25:31.5966667
5202484,Jumbo 663,DSL,7570,2020-01-12 11:47:58.1133333
5202469,Jumbo 663,DSL,7690,2020-01-12 12:16:11.2133333
5200304,Jumbo 663,DSL,7690,2020-01-11 18:37:00.9666667
5198703,Jumbo 663,DSL,7740,2020-01-11 10:13:31.3633333
5193713,Jumbo 663,DSL,7590,2020-01-09 23:43:08.7900000
5192859,Jumbo 663,DSL,7740,2020-01-10 20:10:01.6333333
5192858,Jumbo 663,DSL,7740,2020-01-10 14:18:40.8300000
5192857,Jumbo 663,DSL,7610,2020-01-10 05:28:58.0700000
5192808,Jumbo 663,DSL,7650,2020-01-10 03:53:34.1766667
5192806,Jumbo 663,DSL,7570,2020-01-09 22:58:16.7600000
5187904,Jumbo 663,DSL,7570,2020-01-09 13:36:20.0633333
5187874,Jumbo 663,DSL,7570,2020-01-09 11:05:37.8166667
5187872,Jumbo 663,DSL,7500,
5187867,Jumbo 663,DSL,7650,
5187866,Jumbo 663,DSL,7650,2020-01-09 08:58:21.1966667
5187850,Jumbo 663,DSL,7500,
5187743,Jumbo 663,DSL,7500,
5187742,Jumbo 663,DSL,7500,
5187738,Jumbo 663,DSL,7590,
5182922,Jumbo 663,DSL,7740,
5182657,Jumbo 663,DSL,7500,2020-01-08 18:31:29.6033333
5182655,Jumbo 663,DSL,7500,2020-01-08 12:28:57.0100000
5182654,Jumbo 663,DSL,7500,2020-01-08 09:28:32.4600000
5177915,Jumbo 663,DSL,7500,2020-01-07 20:15:21.8300000
5177914,Jumbo 663,DSL,7500,2020-01-07 14:38:38.6600000
5177913,Jumbo 663,DSL,7500,2020-01-09 16:00:43.6900000
5177912,Jumbo 663,DSL,7500,2020-01-07 09:17:48.8966667
5177210,Jumbo 663,DSL,7610,2020-01-06 16:27:41.5266667
5171469,Jumbo 663,DSL,7650,2020-01-06 04:10:18.2666667
5171465,Jumbo 663,DSL,7610,
5171460,Jumbo 663,DSL,7690,
5171458,Jumbo 663,DSL,7770,
5171456,Jumbo 663,DSL,7770,2020-01-06 11:10:09.9766667
5169751,Jumbo 663,DSL,7500,2020-01-05 09:57:31.1566667
5168531,Jumbo 663,DSL,7610,2020-01-05 12:52:04.5300000
