Store,Product,Gross Volume,Net Volume,Temperature,datetime_column,New_Date,Gallons,OrderItemId
Jumbo 663,DSL,44925.325,45138.328,49.651,2020-02-16 03:58:16,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45173.92,45393.331,49.416333,2020-02-16 02:59:36,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45212.734,45432.881,49.392,2020-02-16 01:59:16,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37726.489,37895.597,49.948333,2020-02-16 00:59:36,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37847.16,38017.639,49.901333,2020-02-15 23:57:46,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37852.283,38023.689,49.844333,2020-02-15 22:58:26,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38027.076,38200.427,49.776333,2020-02-15 21:58:36,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38362.939,38540.017,49.645333,2020-02-15 20:56:26,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38809.489,38989.522,49.597666,2020-02-15 19:58:36,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39654.908,39841.301,49.466666,2020-02-15 18:58:27,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40305.186,40498.369,49.279333,2020-02-15 17:58:56,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40575.771,40770.948,49.252333,2020-02-15 16:59:56,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41598.166,41800.87,49.151666,2020-02-15 15:59:36,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42159.056,42367.525,49.012666,2020-02-15 14:59:06,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,43474.983,43692.723,48.913666,2020-02-15 13:59:26,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,36856.066,37024.399,49.717666,2020-02-15 12:59:56,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37392.684,37568.199,49.452333,2020-02-15 11:59:26,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38501.799,38683.89,49.393666,2020-02-15 10:59:56,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,31632.883,31764.295,50.677333,2020-02-15 09:59:06,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,32853.237,32991.819,50.551,2020-02-15 08:59:56,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,33474.194,33616.927,50.460333,2020-02-15 07:59:26,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,33981.071,34127.231,50.380666,2020-02-15 06:56:26,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,34541.296,34691.552,50.274,2020-02-15 05:59:46,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35158.479,35313.26,50.159666,2020-02-15 04:59:26,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35202.732,35358.837,50.084333,2020-02-15 03:59:56,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35702.589,35863.319,49.93,2020-02-15 02:57:07,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35939.176,36101.965,49.865,2020-02-15 01:59:16,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,36242.992,36407.864,49.822333,2020-02-15 00:59:56,2020-02-15,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,36548.38,36716.101,49.733333,2020-02-14 23:55:56,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37378.837,37553.232,49.567666,2020-02-14 22:59:06,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37974.065,38151.847,49.537666,2020-02-14 21:56:16,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38496.714,38680.0,49.354666,2020-02-14 20:59:46,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39442.883,39634.39,49.148,2020-02-14 19:58:16,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40683.802,40880.846,49.205666,2020-02-14 18:59:08,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41214.521,41421.782,48.808333,2020-02-14 17:59:06,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42368.535,42584.323,48.710666,2020-02-14 16:59:26,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,43645.395,43867.102,48.783333,2020-02-14 15:58:46,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45250.153,45483.984,48.633333,2020-02-14 14:59:06,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38697.89,38886.635,49.088666,2020-02-14 13:59:07,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40600.802,40802.678,48.882,2020-02-14 12:59:07,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42386.474,42596.576,48.932333,2020-02-14 11:59:16,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44822.216,45047.277,48.799333,2020-02-14 10:59:16,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,47234.903,47477.52,48.551666,2020-02-14 09:59:26,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,48151.595,48400.178,48.501666,2020-02-14 08:55:46,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,49417.318,49672.342,48.507333,2020-02-14 07:57:16,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,50198.128,50458.788,48.441,2020-02-14 06:58:56,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,51250.048,51517.819,48.37,2020-02-14 05:58:16,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,52173.618,52448.397,48.283333,2020-02-14 04:58:16,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,53276.157,53559.307,48.185333,2020-02-14 03:59:19,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,53423.061,53708.309,48.131333,2020-02-14 02:58:56,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,46204.38,46435.681,48.975333,2020-02-14 01:59:17,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,46732.59,46968.493,48.889333,2020-02-14 00:56:06,2020-02-14,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,47148.742,47390.462,48.724333,2020-02-13 23:59:36,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39927.3,40115.632,49.529666,2020-02-13 22:58:36,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40625.124,40819.412,49.396,2020-02-13 21:59:06,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42154.764,42359.313,49.263333,2020-02-13 20:59:26,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42080.096,42279.031,49.550333,2020-02-13 19:59:09,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37101.741,37268.89,49.960666,2020-02-13 18:59:56,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38300.613,38475.905,49.81,2020-02-13 17:56:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39054.784,39234.893,49.734333,2020-02-13 16:59:46,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40706.824,40897.897,49.582333,2020-02-13 15:59:36,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42467.334,42669.873,49.484666,2020-02-13 14:59:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,36126.671,36293.187,49.72,2020-02-13 13:59:46,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37957.418,38135.113,49.568666,2020-02-13 12:58:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39793.63,39982.828,49.415333,2020-02-13 11:59:46,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42342.967,42547.804,49.246666,2020-02-13 10:59:36,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44299.672,44516.964,49.107666,2020-02-13 09:58:56,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,46829.784,47066.961,48.759,2020-02-13 08:59:26,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40823.943,41018.773,49.381333,2020-02-13 07:59:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42390.757,42600.353,48.991666,2020-02-13 06:59:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44656.21,44881.486,48.778,2020-02-13 05:59:56,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45654.299,45886.969,48.672,2020-02-13 04:57:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,46433.242,46667.391,48.852333,2020-02-13 03:59:36,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39101.34,39286.988,49.451333,2020-02-13 02:59:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39183.005,39370.709,49.376333,2020-02-13 01:58:16,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,31648.51,31785.136,50.399,2020-02-13 00:58:26,2020-02-13,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,32100.123,32240.222,50.317666,2020-02-12 23:57:36,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,32594.423,32738.361,50.228,2020-02-12 22:58:56,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,32840.941,32987.659,50.129333,2020-02-12 21:59:26,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,33709.831,33862.827,50.015333,2020-02-12 20:59:36,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,28075.222,28188.835,51.023666,2020-02-12 19:57:16,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,29225.561,29345.212,50.961666,2020-02-12 18:58:46,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,22261.931,22336.751,52.28,2020-02-12 17:59:26,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,23972.608,24055.166,52.123333,2020-02-12 16:59:56,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,26047.616,26140.097,51.921,2020-02-12 15:59:46,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,27505.08,27604.756,51.781333,2020-02-12 14:59:56,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,28791.497,28898.655,51.559,2020-02-12 13:59:36,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,31203.024,31322.184,51.376,2020-02-12 12:58:26,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,33332.96,33462.602,51.227333,2020-02-12 11:59:16,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35833.032,35975.431,51.067,2020-02-12 10:59:46,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37855.796,38008.476,50.936666,2020-02-12 09:59:06,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40760.262,40928.292,50.766333,2020-02-12 08:59:16,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42963.797,43144.419,50.627666,2020-02-12 07:58:56,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45250.13,45443.307,50.567666,2020-02-12 06:57:36,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39212.004,39365.394,51.234333,2020-02-12 05:59:26,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40236.69,40396.191,51.160333,2020-02-12 04:59:16,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40717.317,40880.54,51.086333,2020-02-12 03:59:36,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41359.576,41527.925,50.983666,2020-02-12 02:59:16,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41663.0,41834.855,50.92,2020-02-12 01:58:56,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42424.521,42600.23,51.076666,2020-02-12 00:57:16,2020-02-12,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,34996.467,35125.885,51.703333,2020-02-11 23:59:16,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35535.926,35668.666,51.622333,2020-02-11 22:58:16,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35905.698,36040.718,51.567666,2020-02-11 21:58:16,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,36366.343,36505.448,51.410666,2020-02-11 20:59:16,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,37756.831,37903.754,51.277,2020-02-11 19:58:06,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38563.387,38714.323,51.226666,2020-02-11 18:59:56,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39868.406,40026.887,51.089666,2020-02-11 17:59:16,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41154.622,41320.252,50.971,2020-02-11 16:59:36,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42970.137,43146.726,50.775,2020-02-11 15:59:57,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45259.554,45455.631,50.284333,2020-02-11 14:58:36,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,47854.925,48057.566,50.537333,2020-02-11 13:57:27,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,49100.921,49310.456,50.461333,2020-02-11 12:59:16,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,51070.858,51291.278,50.369,2020-02-11 11:59:16,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,47051.43,47247.441,50.672333,2020-02-11 10:58:26,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,49201.78,49409.634,50.561,2020-02-11 09:59:40,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,51413.499,51633.542,50.489,2020-02-11 08:59:46,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,51520.487,51740.111,50.645,2020-02-11 07:58:56,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45606.803,45792.421,50.892,2020-02-11 06:59:46,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,46618.367,46809.976,50.807333,2020-02-11 05:57:46,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,47502.475,47700.265,50.670333,2020-02-11 04:55:27,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40280.736,40435.803,51.583,2020-02-11 03:58:06,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40843.894,41004.541,51.466333,2020-02-11 02:59:26,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41179.055,41340.611,51.609333,2020-02-11 01:56:27,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,33471.548,33588.891,51.968333,2020-02-11 00:59:26,2020-02-11,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,34328.179,34450.021,51.869333,2020-02-10 23:55:56,2020-02-10,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,34713.858,34838.257,51.791,2020-02-10 22:57:16,2020-02-10,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35148.229,35275.792,51.686666,2020-02-10 21:58:26,2020-02-10,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,35760.979,35891.64,51.631,2020-02-10 20:58:06,2020-02-10,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,36490.759,36626.274,51.497666,2020-02-10 19:59:36,2020-02-10,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,38316.885,38462.391,51.321333,2020-02-10 18:59:56,2020-02-10,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39847.551,40001.674,51.166333,2020-02-10 17:55:56,2020-02-10,1748.8631360946745,3869415.7369614514
