Date,Total_sales
2019-02-06,31835.54
2019-02-07,33032.74
2019-02-08,30609.68
2019-02-09,15601.44
2019-02-10,15245.15
2019-02-11,25320.11
2019-02-12,31429.37
2019-02-13,31854.65
2019-02-14,33442.42
2019-02-15,22708.35
2019-02-16,15673.31
2019-02-17,13253.46
2019-02-18,26921.52
2019-02-19,32345.06
2019-02-20,35338.15
2019-02-21,28729.35
2019-02-22,25314.88
2019-02-23,13666.15
2019-02-24,12585.15
2019-02-25,26267.18
2019-02-26,30871.97
2019-02-27,30808.82
2019-02-28,29246.73
2019-03-01,27339.79
2019-03-02,12792.16
2019-03-03,15038.35
2019-03-04,25581.24
2019-03-05,36557.74
2019-03-06,34688.8
2019-03-07,32865.96
2019-03-08,28178.5
2019-03-09,13093.0
2019-03-10,13846.27
2019-03-11,27832.13
2019-03-12,31706.09
2019-03-13,33231.31
2019-03-14,32536.11
2019-03-15,25876.59
2019-03-16,12583.62
2019-03-17,14573.7
2019-03-18,35430.43
2019-03-19,30283.19
2019-03-20,31428.39
2019-03-21,31000.82
2019-03-22,26090.95
2019-03-23,15088.289999999999
2019-03-24,12268.41
2019-03-25,26108.72
2019-03-26,35516.33
2019-03-27,35620.94
2019-03-28,30260.98
2019-03-29,24700.41
2019-03-30,15997.23
2019-03-31,17052.49
2019-04-01,25803.52
2019-04-02,32712.85
2019-04-03,30140.03
2019-04-04,28797.55
2019-04-05,21244.67
2019-04-06,12987.37
2019-04-07,11927.609999999999
2019-04-08,30402.28
2019-04-09,34258.18
2019-04-10,34885.2
2019-04-11,29564.4
2019-04-12,23131.25
2019-04-13,17797.36
2019-04-14,13435.45
2019-04-15,28498.2
2019-04-16,31878.920000000002
2019-04-17,32540.93
2019-04-18,31751.08
2019-04-19,23915.43
2019-04-20,11805.92
2019-04-21,10406.78
2019-04-22,23970.79
2019-04-23,33910.47
2019-04-24,30497.260000000002
2019-04-25,27301.11
2019-04-26,25929.31
2019-04-27,13050.38
2019-04-28,12429.24
2019-04-29,26324.01
2019-04-30,29909.79
2019-05-01,34402.26
2019-05-02,28735.77
2019-05-03,26132.31
2019-05-04,12846.43
2019-05-05,12547.68
2019-05-06,27875.04
2019-05-07,34623.68
2019-05-08,32076.39
2019-05-09,30864.8
2019-05-10,26024.88
2019-05-11,15766.369999999999
2019-05-12,12406.56
2019-05-13,25489.69
2019-05-14,32935.15
2019-05-15,30474.11
2019-05-16,32684.9
2019-05-17,24948.67
2019-05-18,17444.39
2019-05-19,12764.81
2019-05-20,26848.14
2019-05-21,34453.78
2019-05-22,32999.71
2019-05-23,33563.840000000004
2019-05-24,25790.55
2019-05-25,14252.64
2019-05-26,8680.08
2019-05-27,12509.03
2019-05-28,26816.57
2019-05-29,35843.67
2019-05-30,31671.23
2019-05-31,25811.08
2019-06-01,14947.58
2019-06-02,13755.82
2019-06-03,27248.8
2019-06-04,29290.48
2019-06-05,32928.59
2019-06-06,33212.56
2019-06-07,28604.79
2019-06-08,12059.09
2019-06-09,13527.82
2019-06-10,22636.15
2019-06-11,30003.32
2019-06-12,28769.76
2019-06-13,31836.72
2019-06-14,27318.92
2019-06-15,12104.06
2019-06-16,11421.72
2019-06-17,27799.79
2019-06-18,29288.4
2019-06-19,30613.47
2019-06-20,27402.34
2019-06-21,27458.89
2019-06-22,13303.2
2019-06-23,11559.55
2019-06-24,26862.71
2019-06-25,30475.7
2019-06-26,31300.64
2019-06-27,29537.35
2019-06-28,26474.41
2019-06-29,13452.8
2019-06-30,12876.29
2019-07-01,28283.46
2019-07-02,25915.49
2019-07-03,23130.11
